Model,Modality,SNR,WER,CER,BERTScore,SemanticSimilarity,ViPS
avec,AO,7.5,0.10151668351870577,0.0518391959798995,0.9518334975213737,0.8853933,0.9657705668813902
avec,AO,-5.0,0.8252780586450961,0.6903316582914573,0.6549916661976866,0.24103162,0.4438507014017002
avec,AO,2.5,0.23488372093023255,0.13539698492462313,0.894049407495503,0.74999166,0.9215710404310588
avec,AO,0.0,0.37067745197168855,0.2266532663316583,0.8390773148765897,0.6129535,0.8686604292824307
avec,AO,5.0,0.15075834175935288,0.07955778894472362,0.9304988542169806,0.8322689,0.9515787474202101
avec,AO,-7.5,0.9728008088978767,0.9348542713567839,0.5542796151395281,0.15140836,0.10050061710654448
avec,AO,-2.5,0.5884732052578362,0.4115175879396985,0.754362658760387,0.42357013,0.7439108383209327
avec,AV,7.5,0.06471183013144591,0.030834170854271356,0.9698416675517814,0.92993015,0.9782229434493273
avec,AV,-5.0,0.40525783619817995,0.25475376884422113,0.830998711586901,0.6019241,0.8370970614936013
avec,AV,2.5,0.12234580384226491,0.06184924623115578,0.9444808433174997,0.8644999,0.9612576483566394
avec,AV,0.0,0.1763397371081901,0.0942110552763819,0.9211261007571022,0.8134333,0.9437511234789755
avec,AV,5.0,0.08493427704752275,0.04092462311557789,0.9620832620381767,0.9057684,0.9741461748173611
avec,AV,-7.5,0.5654196157735086,0.41035175879396985,0.7665496277682805,0.47932613,0.6827692066052342
avec,AV,-2.5,0.2672396359959555,0.15260301507537688,0.8846117258071899,0.72236794,0.9100026171199319
AV_relscore,AO,7.5,0.07381193124368049,0.041125628140703516,0.9667298076822395,0.92139095,0.9741790402552809
AV_relscore,AO,-5.0,0.6278058645096056,0.45537688442211055,0.7790051967604967,0.44072554,0.800678532932839
AV_relscore,AO,2.5,0.15207280080889787,0.09187939698492463,0.9360958033669274,0.8448275,0.9500527976296953
AV_relscore,AO,0.0,0.22669362992922143,0.1487638190954774,0.9148375212830364,0.7871141,0.927487626203266
AV_relscore,AO,5.0,0.10040444893832154,0.05792964824120603,0.9569403576092861,0.8945724,0.966192973888085
AV_relscore,AO,-7.5,0.8811931243680485,0.706070351758794,0.6703213551656303,0.25028017,0.7041634640448576
AV_relscore,AO,-2.5,0.3961577350859454,0.26749748743718593,0.8504360624103272,0.63023084,0.876001574406228
AV_relscore,AV,7.5,0.0743174924165824,0.036984924623115575,0.9689570912170554,0.92265195,0.9796343378184175
AV_relscore,AV,-5.0,0.34529828109201216,0.218713567839196,0.8668163913294369,0.6719159,0.8910196691371639
AV_relscore,AV,2.5,0.12598584428715875,0.06715577889447236,0.9487941978015654,0.87340736,0.9630408156436914
AV_relscore,AV,0.0,0.14266936299292216,0.08245226130653266,0.9415193188379968,0.8592798,0.9574030851086917
AV_relscore,AV,5.0,0.0948432760364004,0.04906532663316583,0.9599352430250498,0.9031091,0.9726018820654498
AV_relscore,AV,-7.5,0.48422649140546004,0.32494472361809046,0.8200672302933736,0.549217,0.8446562245312982
AV_relscore,AV,-2.5,0.23559150657229525,0.14122613065326634,0.9051594685912584,0.7681881,0.9273845331703072
auto-avsr,AO,7.5,0.018503538928210314,0.012080402010050251,0.9925155624307348,0.98310006,0.9923283561368157
auto-avsr,AO,-5.0,0.2787664307381193,0.22267336683417085,0.8919419327935516,0.7424499,0.8325540980319216
auto-avsr,AO,2.5,0.04155712841253792,0.027919597989949748,0.9825540328458978,0.9584229,0.9812406874373106
auto-avsr,AO,0.0,0.056622851365015166,0.04168844221105528,0.9784467429215938,0.9495357,0.9689548391479627
auto-avsr,AO,5.0,0.026491405460060666,0.017185929648241206,0.9889818456568201,0.9769107,0.9892169424397228
auto-avsr,AO,-7.5,0.5587462082912033,0.5004422110552764,0.7785803097653443,0.52260405,0.5628502589658834
auto-avsr,AO,-2.5,0.12922143579373105,0.09525628140703518,0.9491951607737371,0.87516004,0.933113129941317
auto-avsr,AV,7.5,0.013549039433771486,0.007778894472361809,0.9944556838720698,0.98709494,0.9953032824910234
auto-avsr,AV,-5.0,0.09211324570273004,0.05921608040201005,0.9621594511677514,0.91115147,0.9642753114966991
auto-avsr,AV,2.5,0.02264914054600607,0.013105527638190955,0.9906275119860907,0.9773767,0.9925380470517363
auto-avsr,AV,0.0,0.029524772497472193,0.018834170854271356,0.9875223232344368,0.969713,0.9883975165298345
auto-avsr,AV,5.0,0.01769464105156724,0.010331658291457286,0.992275347500295,0.98344254,0.9934511382243381
auto-avsr,AV,-7.5,0.16359959555106168,0.11817085427135679,0.9361829908619678,0.8492552,0.9246421301566334
auto-avsr,AV,-2.5,0.056319514661274016,0.03549748743718593,0.9775243984488806,0.94690967,0.9789786534128412
